Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Skills,Job Location,Company Name
2689559917,2017-01-15,Software Engineer,Software Engineer,"['graphql', 'datadog', 'python', 'docker', 'saas', 'redis', 'golang', 'go', 'postgres']","Connecticut, United States",SailPoint
2642449676,2017-01-15,Software Engineer,Principal Software Engineer,"['graphql', 'scrum', 'redis', 'saas', 'cloud', 'javascript', 'ruby', 'agile', 'programming', 'postgresql', 'server']","Utah, United States",Blackbaud
2676398213,2017-01-16,Software Engineer,"Software Engineer, Backend",[],"Minneapolis, MN",Affirm
2434244727,2017-01-16,Software Engineer,"Senior Software Engineer, Mtp","['cloud', 'saas', 'python', 'programming', 'linux']","Los Angeles, CA",Netskope
2639283712,2017-01-16,Data Engineer,Data Engineer,"['scala', 'oracle', 'warehousing', 'git', 'scrum', 'ci/cd', 'java', 'power_bi', 'pyspark', 'agile', 'python', 'tableau', 'etl', 'mongo', 'cognos', 'hadoop', 'sql', 'nosql', 'bi', 'server', 'azure']","Chicago, IL",84.51˚
2487495027,2017-01-16,Data Engineer,Aws Data Engineer,"['pandas', 'cloud', 'aws', 'python', 'programming']","Seattle, WA",WideNet Consulting Group
2657218839,2017-01-16,Data Engineer,Senior Data Engineer,"['cloud', 'aws', 'azure']","Gresham, OR",Toptal
2689880895,2017-01-16,Data Engineer,Senior Data Engineer,"['cloud', 'aws', 'azure']","Elgin, IL",Toptal
2380396938,2017-01-16,Business Analyst,"Senior Business Analyst, Operations","['python', 'r', 'sql']","Richmond, VA",Mission Lane
2694762230,2017-01-16,Data Analyst,Data Analyst,"['python', 'saas', 'sql', 'go']","New York, NY",RippleMatch
2742201499,2017-01-17,Software Development Engineer,"Senior Software Development Engineer, Developer Enablement","['cloud', 'agile', 'python', 'docker', 'gcp', 'redis', 'codebase', 'aws', 'mysql', 'sql', 'coding']",United States,Recharge Payments
2744996631,2017-01-17,Software Development Engineer,Software Development Engineer,"['cloud', 'agile', 'programming', 'devops', 'c', 'java', 'aws', 'c++']",United States,Amazon Web Services (AWS)
2662803166,2017-01-17,Business Intelligence Analyst,Business Intelligence Analyst,"['database', 'server', 'microsoft', 'etl', 'sql', 'go', 'excel', 'ssis', 'vba', 'ssrs']","Alexandria, VA",PRECISIONxtract
2657222492,2017-01-17,Data Engineer,Senior Data Engineer,"['cloud', 'aws', 'azure']","Miami-Dade County, FL",Toptal
2679919688,2017-01-17,Data Engineer,Data Engineer,"['warehousing', 'gcp', 'aws', 'etl', 'sql', 'go', 'azure']","Boston, MA",Onward Select
2675974313,2017-01-17,Software Engineer,Full Stack Software Engineer,"['github', 'c++', 'json', 'css', 'javascript', 'html', 'mysql', 'agile', 'python', 'jira', 'nosql', 'c']","New York, NY","Staffing Opportunities Solutions, Inc."
2719325309,2017-01-17,Data Analyst,Data Analyst,"['excel', 'slack', 'tableau', 'twilio', 'bi']","Newark, NJ",Gong
2752465710,2017-01-17,User Experience Researcher,User Experience Researcher,[],United States,Medasource
2677267183,2017-01-18,Developer,Sap Technical Developer And Integration Lead,"['sap', 'cloud', 'programming']",Greater Chicago Area,Clarkston Consulting
2690054893,2017-01-18,Software Engineer,Senior Software Engineer,"['database', 'agile', 'server', 'scrum', 'programming', 'c', 'oracle', 'microsoft', 'mysql', 'sql', 'js']",United States,Ivanti
2424299768,2017-01-18,Software Engineer,"Senior Software Engineer, Data Security","['ci/cd', 'c++', 'cloud', 'python', 'programming', 'docker', 'c']","San Diego, CA",Netskope
2673994709,2017-01-18,Software Engineer,"Software Engineer, Access Requests","['backend', 'cloud', 'saas', 'java', 'aws', 'agile', 'docker']",United States,SailPoint
2707290803,2017-01-18,Software Developer,Software Developer,"['cloud', 'javascript', 'agile', 'jira', 'linux', 'server', 'scrum', 'oracle', 'java', 'xml', 'apache', 'coding']",United States,Mythics Inc.
2749224825,2017-01-18,Business Analyst,Business Analyst,['excel'],"Virginia, United States",Trimble Inc.
2739250752,2017-01-18,Ux Researcher,Ux Researcher,['excel'],"Burbank, CA",Toptal
2734849202,2017-01-18,Software Engineer,Senior Mobile And Front-End Software Engineer,"['graphql', 'python', 'frontend', 'css', 'ios', 'mongodb', 'backend', 'html', 'ai', 'coding', 'postgres']",Greater Minneapolis-St. Paul Area,HireVue
2712137853,2017-01-18,Data Engineer,Data Engineer,"['database', 'cloud', 'agile', 'server', 'spark', 'github', 'oracle', 'ci/cd', 'aws', 'redshift', 'etl', 'sql', 'airflow']","Charlotte, NC",Red Ventures
2515347764,2017-01-19,Database Engineer,Senior Database Engineer,"['linux/unix', 'bash', 'perl', 'database', 'javascript', 'ruby', 'python', 'programming', 'postgresql', 'sql', 'postgres']",Atlanta Metropolitan Area,OneLogin
2650077842,2017-01-19,Software Engineer,Software Engineer,"['cloud', 'agile/scrum', 'javascript', 'docker', 'git', 'scrum', 'frontend', 'json', 'css', 'php', 'mongodb', 'mssql', 'aws', 'html', 'mysql', 'postgresql', 'xml', 'coding']","Aliso Viejo, CA",Ambry Genetics
2739163166,2017-01-19,Senior Analyst,"Senior Analyst, Digital Solutions","['r', 'cloud', 'saas', 'css', 'javascript', 'html']",United States,Medallia
2679588670,2017-01-19,Operations Manager,Operations Manager,[],"Pontiac, MI",CVS Health
2656608679,2017-01-19,Data Scientist,Data Scientist,[],"Chula Vista, CA",Toptal
2721740815,2017-01-19,Software Engineer,"Software Engineer, Items Server Foundation","['database', 'backend', 'golang', 'mysql', 'terminal']","Chicago, IL",Square
2688402385,2017-01-19,Software Engineer,Senior Platform Software Engineer,"['python', 'frontend', 'css', 'mongodb', 'backend', 'html', 'ai', 'coding', 'postgres']","Austin, Texas Metropolitan Area",HireVue
2738456878,2017-01-19,Data Scientist,Data Scientist Advisor,"['python', 'hadoop', 'r', 'programming', 'spark', 'tableau', 'sql', 'machine_learning']","Philadelphia, PA",CVS Health
2680941739,2017-01-20,Product Manager,Product Manager,[],New York City Metropolitan Area,Prestige Staffing
2727641397,2017-01-20,Software Engineer,Software Engineer,"['database', 'cloud', 'java', 'javascript', 'mysql', 'agile', 'postgresql', 'sql', 'nosql', 'mongodb']","Colorado, United States",Trimble Inc.
2698190092,2017-01-20,Software Development Engineer,"Principal Software Development Engineer In Test, Data Engineering","['cloud', 'python', 'programming', 'no-sql', 'sql', 'docker', 'mongodb', 'postgres', 'go']","Colorado Springs, CO",Netskope
2741246898,2017-01-20,Data Analyst,Clinical Data Analyst,"['scrum', 'ai/ml', 'data_lakes', 'agile', 'coding', 'sql']",United States,Anju Software
2732462455,2017-01-20,Data Engineer,Senior Data Engineer,"['database', 'ruby', 'node.js', 'saas', 'slack', 'looker', 'warehousing', 'redis', 'aws', 'redshift', 'etl', 'postgres']","Pittsburgh, PA",Aha!
2706547648,2017-01-20,Software Engineer,Software Engineer,"['node.js', 'git', 'ci/cd', 'json', 'gitlab', 'mysql', 'linux', 'docker']",United States,Confidential
